[2021-08-12 06:17:36] local.INFO: Time : 2021-08-12 06:17:36 | IP : 152.57.119.136 | User : शिक्षण विभाग (प्राथमिक)  
[2021-08-12 06:19:34] local.INFO: Time : 2021-08-12 06:19:34 | IP : 152.57.119.136 | User : महिला व बाल विकास विभाग  
[2021-08-12 06:22:02] local.INFO: Time : 2021-08-12 06:22:02 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 06:49:50] local.INFO: Time : 2021-08-12 06:49:50 | IP : 150.242.199.197 | User : Admin  
[2021-08-12 07:47:55] local.INFO: Time : 2021-08-12 07:47:55 | IP : 150.242.199.197 | User : Admin  
[2021-08-12 08:19:16] local.INFO: Time : 2021-08-12 08:19:16 | IP : 152.57.119.136 | User : Admin  
[2021-08-12 08:23:10] local.INFO: Time : 2021-08-12 08:23:10 | IP : 152.57.119.136 | User : वित्त विभाग  
[2021-08-12 08:24:24] local.INFO: Time : 2021-08-12 08:24:24 | IP : 152.57.119.136 | User : महिला व बाल विकास विभाग  
[2021-08-12 08:25:20] local.INFO: Time : 2021-08-12 08:25:20 | IP : 152.57.119.136 | User : शिक्षण विभाग (प्राथमिक)  
[2021-08-12 08:26:27] local.INFO: Time : 2021-08-12 08:26:27 | IP : 152.57.119.136 | User : वित्त विभाग  
[2021-08-17 07:35:14] local.INFO: Time : 2021-08-17 07:35:14 | IP : 150.242.199.70 | User : Admin  
[2021-08-17 07:49:45] local.INFO: Time : 2021-08-17 07:49:45 | IP : 150.242.199.70 | User : Admin  
[2021-08-17 13:39:39] local.INFO: Time : 2021-08-17 13:39:39 | IP : 150.242.199.70 | User : Admin  
[2021-08-17 14:18:13] local.INFO: Time : 2021-08-17 14:18:13 | IP : 150.242.199.70 | User : Admin  
[2021-08-17 15:12:44] local.INFO: Time : 2021-08-17 15:12:44 | IP : 150.242.199.70 | User : जिल्हा ग्रामिण विकास यंत्रणा विभाग  
[2021-08-17 15:14:56] local.INFO: Time : 2021-08-17 15:14:56 | IP : 150.242.199.70 | User : Admin  
[2021-08-17 15:15:46] local.INFO: Time : 2021-08-17 15:15:46 | IP : 150.242.199.70 | User : सामान्य प्रशासन विभाग  
[2021-08-17 15:19:18] local.INFO: Time : 2021-08-17 15:19:18 | IP : 150.242.199.70 | User : Admin  
[2021-08-17 15:19:57] local.INFO: Time : 2021-08-17 15:19:57 | IP : 150.242.199.70 | User : Admin  
[2021-08-18 10:44:17] local.INFO: Time : 2021-08-18 10:44:17 | IP : 150.242.199.70 | User : आरोग्य विभाग  
[2021-08-18 14:34:16] local.INFO: Time : 2021-08-18 14:34:16 | IP : 150.242.199.70 | User : Admin  
[2021-08-19 05:48:04] local.INFO: Time : 2021-08-19 05:48:04 | IP : 150.242.199.70 | User : Admin  
[2021-08-19 07:59:37] local.INFO: Time : 2021-08-19 07:59:37 | IP : 150.242.199.70 | User : Admin  
[2021-08-27 08:04:38] local.INFO: Time : 2021-08-27 08:04:38 | IP : 150.242.199.87 | User : Admin  
[2021-09-16 05:52:08] local.INFO: Time : 2021-09-16 05:52:08 | IP : 150.242.199.132 | User : Admin  
[2021-09-16 08:43:54] local.INFO: Time : 2021-09-16 08:43:54 | IP : 150.242.199.132 | User : Admin  
[2021-09-16 08:45:58] local.INFO: Time : 2021-09-16 08:45:58 | IP : 150.242.199.132 | User : Admin  
[2021-09-16 13:03:35] local.INFO: Time : 2021-09-16 13:03:35 | IP : 150.242.199.132 | User : Admin  
[2021-09-17 07:30:20] local.INFO: Time : 2021-09-17 07:30:20 | IP : 150.242.199.132 | User : Admin  
[2021-09-17 11:30:11] local.INFO: Time : 2021-09-17 11:30:11 | IP : 150.242.199.132 | User : Admin  
[2021-09-17 11:31:28] local.INFO: Time : 2021-09-17 11:31:28 | IP : 150.242.199.132 | User : Admin  
[2021-09-17 11:58:07] local.INFO: Time : 2021-09-17 11:58:07 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 06:32:33] local.INFO: Time : 2021-09-18 06:32:33 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 07:07:54] local.INFO: Time : 2021-09-18 07:07:54 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 09:29:57] local.INFO: Time : 2021-09-18 09:29:57 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 10:33:06] local.INFO: Time : 2021-09-18 10:33:06 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 11:35:17] local.INFO: Time : 2021-09-18 11:35:17 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 11:42:48] local.INFO: Time : 2021-09-18 11:42:48 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 11:57:33] local.INFO: Time : 2021-09-18 11:57:33 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 12:13:54] local.INFO: Time : 2021-09-18 12:13:54 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 12:46:49] local.INFO: Time : 2021-09-18 12:46:49 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 12:49:28] local.INFO: Time : 2021-09-18 12:49:28 | IP : 150.242.199.132 | User : Admin  
[2021-09-18 12:59:01] local.INFO: Time : 2021-09-18 12:59:01 | IP : 150.242.199.132 | User : Admin  
[2021-09-20 14:15:23] local.INFO: Time : 2021-09-20 14:15:23 | IP : 150.242.199.132 | User : Admin  
[2021-09-21 07:38:02] local.INFO: Time : 2021-09-21 07:38:02 | IP : 150.242.199.132 | User : Admin  
[2021-09-21 07:39:41] local.INFO: Time : 2021-09-21 07:39:41 | IP : 150.242.199.132 | User : Admin  
[2021-09-21 07:41:55] local.INFO: Time : 2021-09-21 07:41:55 | IP : 150.242.199.132 | User : राज्य गुप्तचर विभाग  
